"DID","NAME","DOB","IMAGE"
468,"Stephen Daldry","5/2/1961","http://image.tmdb.org/t/p/original/1MdxJ4q6Iw1BITZ4mlhDbAtFzMO.jpg"
488,"Steven Spielberg","12/18/1946","http://image.tmdb.org/t/p/original/pOK15UNaw75Bzj7BQO1ulehbPPm.jpg"
504,"Tim Robbins","10/16/1958","http://image.tmdb.org/t/p/original/tuZCyZVVbHcpvtCgriSp5RRPwMX.jpg"
508,"David Koepp","6/9/1963","http://image.tmdb.org/t/p/original/3A7kfyMXaVjGcSbGdRD25msbHcj.jpg"
510,"Tim Burton","8/25/1958","http://image.tmdb.org/t/p/original/oKucd7g8BpfWGw8bDRLkwxa7bT1.jpg"
518,"Danny DeVito","11/17/1944","http://image.tmdb.org/t/p/original/zKuyzmKzPLG7RJo7lbbHjx6CCZc.jpg"
524,"Natalie Portman","6/9/1981","http://image.tmdb.org/t/p/original/a5I22pEXe7Ysn2BDod0C1PobPA8.jpg"
525,"Christopher Nolan","7/30/1970","http://image.tmdb.org/t/p/original/7OGmfDF4VHLLgbjxuEwTj3ga0uQ.jpg"
559,"Wally Pfister","7/8/1961","http://image.tmdb.org/t/p/original/tyYtVatXW16EM7NYJZkxI3K2NQi.jpg"
564,"Richard Linklater","7/30/1960","http://image.tmdb.org/t/p/original/ypiAch9og80uE5hnVBAyXXtY4B1.jpg"
578,"Ridley Scott","11/30/1937","http://image.tmdb.org/t/p/original/46XCMVEYedwsqagc3kjrPmvAKmP.jpg"
607,"Zhang Yimou","11/14/1951","http://image.tmdb.org/t/p/original/rXancm9GMRLQlGc4dz6o5BFtnRy.jpg"
638,"Michael Mann","2/5/1943","http://image.tmdb.org/t/p/original/A4UGak1ZIZ1BGZmZjQwSDCa2JZp.jpg"
648,"Philip Kaufman","10/23/1936","http://image.tmdb.org/t/p/original/CSpDV4y47ASNk5cQ17KsSzRDbO.jpg"
664,"Frank Marshall","9/13/1946","http://image.tmdb.org/t/p/original/dVPOD85wQ1Xscpe3DOVQ1I59IIF.jpg"
686,"Willard Huyck","9/8/1945",""
716,"Emile Ardolino","5/9/1943","http://image.tmdb.org/t/p/original/h4LqsmRshajyuggfxR3wj7aNqyi.jpg"
769,"Martin Brest","8/8/1951",""
814,"Tony Kaye","1/11/1946","http://image.tmdb.org/t/p/original/JCcF3JbptET0eF44w3sfMJw5E4.jpg"
865,"Michael Bay","2/17/1965","http://image.tmdb.org/t/p/original/cJNLMOqIkGZDdwkwSq1YpgiMp9P.jpg"
876,"Jonathan Hensleigh","","http://image.tmdb.org/t/p/original/l1c4UFD3g0HVWj5f0CxXAvMAGiT.jpg"
880,"Ben Affleck","8/15/1972","http://image.tmdb.org/t/p/original/yXtyygmSGtrwTfEmr6g2WgHFJIZ.jpg"
893,"Tony Scott","6/21/1944","http://image.tmdb.org/t/p/original/ke4H9cUZjBcBtHhdXkQNw6eBAp5.jpg"
934,"Russell Crowe","4/7/1964","http://image.tmdb.org/t/p/original/784nHLVWdenOyVkrZEbNLLOpU5a.jpg"
956,"Guy Ritchie","9/10/1968","http://image.tmdb.org/t/p/original/eatQVmnFuHboJseFrYft1BIIc.jpg"
957,"Matthew Vaughn","3/7/1971","http://image.tmdb.org/t/p/original/3jW1B3lG1zrHTnimzLAHHlsU3Hv.jpg"
1011,"Susanne Bier","4/15/1960","http://image.tmdb.org/t/p/original/8NTh0eXu3AADWHCvTO4SaZlZGpf.jpg"
1032,"Martin Scorsese","11/17/1942","http://image.tmdb.org/t/p/original/yGs4PPDPTJV687P1NdydeEFzYRK.jpg"
1038,"Jodie Foster","11/19/1962","http://image.tmdb.org/t/p/original/9M6PpoJGwjhTantETojfFDc3VhW.jpg"
1071,"Tom Tykwer","5/23/1965","http://image.tmdb.org/t/p/original/5zVWVVcCmp9X5BF8L1XAjqRgzMd.jpg"
1090,"John McTiernan","1/8/1951","http://image.tmdb.org/t/p/original/tknmquMIO2oAVUZ0vVX78ALHyaT.jpg"
1098,"Mark Helfrich","",""
1103,"Bill Duke","2/26/1943","http://image.tmdb.org/t/p/original/46uPgJKKjAhPak4G7526ZFHiRvA.jpg"
1108,"Shane Black","12/16/1961","http://image.tmdb.org/t/p/original/9slEH8S7APuw3PifJNSYJ04ceJA.jpg"
1114,"Jon Harris","7/11/1967",""
1128,"Agnieszka Holland","11/28/1948","http://image.tmdb.org/t/p/original/pcs6shB8NcZTGRniXr5jKFao8KR.jpg"
1150,"Brian De Palma","9/11/1940","http://image.tmdb.org/t/p/original/c61HFkgbl61KzvwAvuuROgn7nqv.jpg"
1152,"Oliver Stone","9/15/1946","http://image.tmdb.org/t/p/original/y3Ernjw1FYo6ZvahEHcoqJ5mzV4.jpg"
1176,"Lone Scherfig","5/2/1959","http://image.tmdb.org/t/p/original/zJDZjeBfJxVUslaOU2lI9zfsU3F.jpg"
1201,"Garry Marshall","11/13/1934","http://image.tmdb.org/t/p/original/kx77E8p5rnEmKxIhFT0qWCEMEik.jpg"
1215,"Raja Gosnell","12/9/1958","http://image.tmdb.org/t/p/original/jbcOXhl4QGaYcvAK5WsbEARkkQZ.jpg"
1223,"Joel Coen","11/29/1954","http://image.tmdb.org/t/p/original/wUUNwsgOGtelsU8yJI64s8r7XiY.jpg"
1224,"Ethan Coen","9/21/1957","http://image.tmdb.org/t/p/original/knZuxatmyGpb1M8vWoprAmhv4WQ.jpg"
1241,"John Turturro","2/28/1957","http://image.tmdb.org/t/p/original/qRa3TH8o6NCUntdF1hiiVSLZOy.jpg"
1243,"Woody Allen","12/1/1935","http://image.tmdb.org/t/p/original/wpcOUlaszvJoVRf1yLbDtu7u4FI.jpg"
1269,"Kevin Costner","1/18/1955","http://image.tmdb.org/t/p/original/ybwfOhuuDPJ6NCcX7Y5XJxE6nMs.jpg"
1270,"Charles Martin Smith","10/30/1953","http://image.tmdb.org/t/p/original/fahfWqqrdJwajrfEGmEOXQ1p9bm.jpg"
1357,"Christopher Doyle","5/2/1952","http://image.tmdb.org/t/p/original/u7xRErdN6ya9qzOG8PVa2QshZFC.jpg"
1461,"George Clooney","5/6/1961","http://image.tmdb.org/t/p/original/zOwzwGOZIqL3W80VrwosH4BkoZ6.jpg"
1524,"Harold Ramis","11/21/1944","http://image.tmdb.org/t/p/original/ihA6vKAHXVlwNwU4ZU4uvuwjn7P.jpg"
1577,"Richard Kelly","3/28/1975","http://image.tmdb.org/t/p/original/nHmIALlzcsSu7Uuc4kO34mFb7k2.jpg"
1614,"Ang Lee","10/23/1954","http://image.tmdb.org/t/p/original/fbN1CZR1AMQfCc4nhZVs1xSLWYl.jpg"
1650,"François Truffaut","2/6/1932","http://image.tmdb.org/t/p/original/g7TLkezikZyKFcXGcZrUySXzBPG.jpg"
1704,"Gore Verbinski","3/16/1964","http://image.tmdb.org/t/p/original/bV0rGSPrK4AUvODjB3zMAwDdeIf.jpg"
1707,"Stuart Beattie","",""
1723,"Walter Hill","1/10/1942","http://image.tmdb.org/t/p/original/wpNPqW1oPi2GMYEgykHYBTDdGmJ.jpg"
1724,"Roger Spottiswoode","1/5/1945","http://image.tmdb.org/t/p/original/hH8tIBh0RI7VwI4jQgphtB0qABR.jpg"
1726,"Steven E. de Souza","11/17/1947","http://image.tmdb.org/t/p/original/vdNUgaeJEZy67vhwTeJnftfBRzB.jpg"
1744,"Robert Wise","9/10/1914","http://image.tmdb.org/t/p/original/6EPkRgYsDMQOYmE9s1vZt2O470R.jpg"
1748,"William Shatner","3/22/1931","http://image.tmdb.org/t/p/original/5hWNPFmnzlFAkGMleBKkeFFcxhY.jpg"
1749,"Leonard Nimoy","3/26/1931","http://image.tmdb.org/t/p/original/5B5blUXy0PDvToh2nxZk4SVTdyP.jpg"
1769,"Sofia Coppola","5/14/1971","http://image.tmdb.org/t/p/original/zG1WS4sS5jvYkObHMxsK6fGK7Uk.jpg"
1776,"Francis Ford Coppola","4/7/1939","http://image.tmdb.org/t/p/original/z60KH0VzNO071wagvzMxMKNj9ZQ.jpg"
1788,"Nicholas Meyer","12/24/1945","http://image.tmdb.org/t/p/original/942wEyuJVs1K0rGN2Q0ug2Yi7GE.jpg"
1884,"Steven Soderbergh","1/14/1963","http://image.tmdb.org/t/p/original/zkbZhZRdahf5ryyZD6Lq8LUBSct.jpg"
1895,"Carl Reiner","3/20/1922","http://image.tmdb.org/t/p/original/AtDqJQkl7dH2m19kPio3cosfbes.jpg"
1921,"George Nolfi","","http://image.tmdb.org/t/p/original/w5rOlLTxuGNFtf5CqF9eN1i0KZr.jpg"
1927,"Blake Edwards","7/26/1922","http://image.tmdb.org/t/p/original/tQ13izDBcErAV2qSz9KGjQbV5p9.jpg"
1978,"Iain Softley","11/30/1956","http://image.tmdb.org/t/p/original/citetzG3VlJ402NcaWicUHffxfl.jpg"
2034,"Danny Boyle","10/20/1956","http://image.tmdb.org/t/p/original/oQy1eXLQMMAu0PcoY0xJoL9RRrl.jpg"
2042,"Stephen Hopkins","","http://image.tmdb.org/t/p/original/9htj3BqGWBJGEdsEqQ9YoC3Teq4.jpg"
2053,"Bill Paxton","5/17/1955","http://image.tmdb.org/t/p/original/53Ln1wTC0OCLzBF4HNlwhMXYgOU.jpg"
2087,"Richard Fleischer","12/8/1916","http://image.tmdb.org/t/p/original/pChGBiYPxqPfozB7GlDFCIjCQxs.jpg"
2127,"James Wan","2/27/1977","http://image.tmdb.org/t/p/original/d1LSKfzi5J6QngWS7niN1zPJdud.jpg"
2150,"Kevin Greutert","3/31/1965","http://image.tmdb.org/t/p/original/ffijXhDTs8Up2YQyKRQFIjk5fwc.jpg"
2163,"Richard LaGravenese","10/30/1959","http://image.tmdb.org/t/p/original/8AF47SFj7L50qpWIz8PmdOEcU62.jpg"
2171,"Griffin Dunne","6/8/1955","http://image.tmdb.org/t/p/original/v3ahyscvpy5kt97TmfnGJ6w5xL6.jpg"
2176,"Tommy Lee Jones","9/15/1946","http://image.tmdb.org/t/p/original/gRXugLFvr1oHZ6alLUxmYDq8cgW.jpg"
2199,"Scott Frank","3/10/1960","http://image.tmdb.org/t/p/original/hV0DEtOsiiQAMb7Oqo2VEII8o2l.jpg"
2209,"Jan de Bont","10/22/1943","http://image.tmdb.org/t/p/original/9kPf2LuyLLwCawSGyPIQCX7ighX.jpg"
2216,"Gary Rydstrom","","http://image.tmdb.org/t/p/original/jZpr1nVfO7lldWI0YtmP1FGw7Rj.jpg"
2226,"Sydney Pollack","7/1/1934","http://image.tmdb.org/t/p/original/zxkoU2diKtvarV1Qk4z9He2lJj9.jpg"
2228,"Sean Penn","8/17/1960","http://image.tmdb.org/t/p/original/f2uy1zq0qmtLBpsr6N9uQ8FktOr.jpg"
2239,"Anthony Minghella","1/6/1954","http://image.tmdb.org/t/p/original/uJirGbZdLlvIs3joWGVNpPWKzPz.jpg"
2245,"Yvan Attal","1/4/1965","http://image.tmdb.org/t/p/original/kSP1gv3n06amj8zoajm8Gam5Mzl.jpg"
2291,"Paul McGuigan","9/19/1963","http://image.tmdb.org/t/p/original/756EXCplBweY60HmOokr8mCwpYQ.jpg"
2293,"Frank Miller","1/27/1957","http://image.tmdb.org/t/p/original/ghKVHIRrtOq4Jkuasbe6ww7d359.jpg"
2294,"Robert Rodriguez","6/20/1968","http://image.tmdb.org/t/p/original/wraXPKtHIAuCEeO5i0ACNBL9RcN.jpg"
2303,"Wim Wenders","8/14/1945","http://image.tmdb.org/t/p/original/uS7BJ4ew4cyhqlGGBLJuIT1MXGk.jpg"
2352,"Jean-Jacques Annaud","10/1/1943","http://image.tmdb.org/t/p/original/sxNr4V5xESbnn6To1etsLoPj5SC.jpg"
2380,"David Carson","","http://image.tmdb.org/t/p/original/bErwoKKZwUuYz77micPIwjhHFyx.jpg"
2388,"Jonathan Frakes","8/19/1952","http://image.tmdb.org/t/p/original/51Z5EbZxtVPm6GiN0Wc9CLP4z3s.jpg"
2406,"Mathieu Kassovitz","8/3/1967","http://image.tmdb.org/t/p/original/h0LpOBDRawf5pSiVqlHOuoI2ain.jpg"
2419,"Jean-Pierre Jeunet","9/3/1953","http://image.tmdb.org/t/p/original/fnRrA6RKnsbEPjz31WcQ8iUy8lS.jpg"
2460,"Randall Wallace","7/28/1949","http://image.tmdb.org/t/p/original/qmHTJng76EXxPbHPQMwwyTvSEwN.jpg"
2461,"Mel Gibson","1/3/1956","http://image.tmdb.org/t/p/original/6VGgL0bBvPIJ9vDOyyGf5nK2zL4.jpg"
2523,"Stuart Baird","1/14/1947","http://image.tmdb.org/t/p/original/k7nLNZ0MYsPrKq5T3ZV7m9zwEGY.jpg"
2589,"Terry George","12/20/1952","http://image.tmdb.org/t/p/original/bQDk9TM3y1pswHHKLoeb9bV88S9.jpg"
2632,"Chris Rock","2/7/1965","http://image.tmdb.org/t/p/original/5JCYKerIL0SdiqygtLUpG9Sw37P.jpg"
2636,"Alfred Hitchcock","1899-08-13","http://image.tmdb.org/t/p/original/nA6zRjaVk1JjYvRpuihXJ2pirWk.jpg"
2662,"Frank Capra","1897-05-18","http://image.tmdb.org/t/p/original/hvPrtfKnJs9arck1zKGnG8uRkBC.jpg"
2675,"Darren Lynn Bousman","1/11/1979","http://image.tmdb.org/t/p/original/dSnGbwgLtYYlYMBHXMIhWyyK2BW.jpg"
2679,"David Hackl","2/7/1973",""
2690,"Peter Weir","8/21/1944","http://image.tmdb.org/t/p/original/bQzmyhBOqCSrnSmCaRmi2T2b4Zf.jpg"
2710,"James Cameron","8/16/1954","http://image.tmdb.org/t/p/original/6Zk8h1XsPGKUM8M8cKUHAnmnc8O.jpg"
2746,"Elia Kazan","9/7/1909","http://image.tmdb.org/t/p/original/z01veevdhWAEmykvSrQV4OtKuZd.jpg"
2765,"Nicholas Ray","8/7/1911","http://image.tmdb.org/t/p/original/qttXmAk0wadFXngwtzhj11gAqW9.jpg"
2778,"Dennis Hopper","5/17/1936","http://image.tmdb.org/t/p/original/56nj2DfMVU3F9qUagZWMePLbrKF.jpg"
2836,"Kimberly Peirce","9/8/1967",""
2880,"Emilio Estevez","5/12/1962","http://image.tmdb.org/t/p/original/2NSM4zFrw3i16UYdUhfETVjqC4I.jpg"
2945,"Stephen Gaghan","5/6/1965","http://image.tmdb.org/t/p/original/wNv62DVAoCLRsw7nEcGZaetFJmc.jpg"
3026,"Rob Reiner","3/6/1947","http://image.tmdb.org/t/p/original/2zw9Iq9uo4vZiTQNQWdNFwbA1TA.jpg"
3028,"Bruce A. Evans","9/19/1946",""
3045,"P.J. Hogan","11/30/1962","http://image.tmdb.org/t/p/original/2z1S2664iOeHgiSq4uuuo5mzUgg.jpg"
3055,"David Mackenzie","5/10/1966","http://image.tmdb.org/t/p/original/oHZ2kkGICUnSbm73BQFK3Hau82f.jpg"
3110,"Allison Anders","11/16/1954","http://image.tmdb.org/t/p/original/rsfxpcNEdmNqZyNcct0J695LhBK.jpg"
3111,"Alexandre Rockwell","",""
3115,"Andrzej Sekula","12/19/1954",""
3146,"Billy Wilder","6/22/1906","http://image.tmdb.org/t/p/original/dSi2FnzgL50gODQpqABR0ABtHTP.jpg"
3224,"Stephen Frears","6/20/1941","http://image.tmdb.org/t/p/original/jemukM3UHbFTKd4HNPYaoFYyZaY.jpg"
3227,"Steve Pink","2/3/1966","http://image.tmdb.org/t/p/original/myHOgo8mQSCiCAZNGMRdHVr03jr.jpg"
3238,"Merian C. Cooper","1893-10-24","http://image.tmdb.org/t/p/original/cTAvZsPWnHUn5CIQC0dNxBsLDvf.jpg"
3239,"Ernest B. Schoedsack","1893-06-08","http://image.tmdb.org/t/p/original/7gY2HcWj4LmalTxepMI6PYwOnN3.jpg"
3288,"Chris Weitz","11/30/1969","http://image.tmdb.org/t/p/original/xlnVbsnoP3PZCjEa2d99ETVLAFB.jpg"
3289,"Paul Weitz","11/19/1965","http://image.tmdb.org/t/p/original/u6VYkIxricoJ31MkmljXs2ZCSFQ.jpg"
3290,"Peter Hedges","7/6/1962","http://image.tmdb.org/t/p/original/f9LzlH4veKD7XFMbB2xEUg53fhj.jpg"
3310,"Nick Moore","",""
3388,"James L. Brooks","5/9/1940","http://image.tmdb.org/t/p/original/9Hx9JbnQBChJhlfJTvmnYF8o8DK.jpg"
3415,"Jerry Zucker","3/11/1950","http://image.tmdb.org/t/p/original/n2iX1gJyOxImJie2LTORZNKM9n9.jpg"
3417,"Tony Goldwyn","5/20/1960","http://image.tmdb.org/t/p/original/6ZKXMOEnShVwGKo56ZoCm12NApZ.jpg"
3451,"Mel Stuart","9/2/1928","http://image.tmdb.org/t/p/original/q7A0NIKl0gVTIO8GsXwaGCc4D2r.jpg"
3506,"Carolynne Cunningham","",""
3556,"Roman Polanski","8/18/1933","http://image.tmdb.org/t/p/original/h5MWbPYyVQMiNgzuqUGxl2MbFgW.jpg"
3893,"David S. Goyer","12/22/1965","http://image.tmdb.org/t/p/original/6hTxSi6BaCWDCsp7pTsDjG1H148.jpg"
3950,"Len Wiseman","3/4/1973","http://image.tmdb.org/t/p/original/eY4G9oEplO0cIflQh6PbIDJmzpI.jpg"
3964,"Patrick Tatopoulos","","http://image.tmdb.org/t/p/original/74JOnC7DLU4uDwNzQX80oLX5Giy.jpg"
3974,"Miloš Forman","2/18/1932","http://image.tmdb.org/t/p/original/aPcjOgfVubtKsTv57tTFfu43lTE.jpg"
4014,"Paul W.S. Anderson","3/4/1965","http://image.tmdb.org/t/p/original/s0JuUAQtfBha5gqGWto2JcGBtbG.jpg"
4027,"Frank Darabont","1/28/1959","http://image.tmdb.org/t/p/original/9KVvZtDyy8DXacw2TTsjC9VLxQi.jpg"
4037,"Ron Shelton","9/15/1945",""
4065,"Fred Zinnemann","4/29/1907","http://image.tmdb.org/t/p/original/w29Qt8Jc7pZd6jAX3901Y2V8yxQ.jpg"
4109,"Michael Curtiz","1886-12-24","http://image.tmdb.org/t/p/original/9FP9zLN0CphE16n5pV4iykRWETb.jpg"
4135,"Robert Redford","8/18/1936","http://image.tmdb.org/t/p/original/b4mJIBWvEyzB8yyZWbmvfzwrdtp.jpg"
4385,"Sergio Leone","1/3/1929","http://image.tmdb.org/t/p/original/cRfaWgAxgNsDkaT6WLpgbrtEAJj.jpg"
4415,"Federico Fellini","1/20/1920","http://image.tmdb.org/t/p/original/6dPVABlx0rcZ415ZOeDHJfhY2mo.jpg"
4429,"Jim Jarmusch","1/22/1953","http://image.tmdb.org/t/p/original/3XIjssxHibmV5fqcn0CAD8lzYl5.jpg"
4483,"Dustin Hoffman","8/8/1937","http://image.tmdb.org/t/p/original/ffKPo8ATHVXME6cgA5BDyvy2df1.jpg"
4489,"Steve Oedekerk","11/27/1961","http://image.tmdb.org/t/p/original/qUkJ4GbyAdloVjVxCUlxLT23wIe.jpg"
4499,"Tom Shadyac","12/11/1958","http://image.tmdb.org/t/p/original/8CtwYIVmCSDQ9F1SXFpifKW0N3v.jpg"
4586,"Pitof","7/4/1957","http://image.tmdb.org/t/p/original/vsMggmTlZENErMCdw5fKtrCKAJp.jpg"
4600,"Joe Dante","11/28/1946","http://image.tmdb.org/t/p/original/6tXq6DyArD72Nus1PBdxuksIgXo.jpg"
4610,"John Landis","8/3/1950","http://image.tmdb.org/t/p/original/lXB2wQPgW7RdfIIsAprG6Giytyd.jpg"
4723,"Brian Helgeland","1/17/1961","http://image.tmdb.org/t/p/original/oJrbZ6efL7CalCeypRyusRbHzPF.jpg"
4746,"Robert Lorenz","","http://image.tmdb.org/t/p/original/tvDhilrjknm4uQZoOcUgRSd31uN.jpg"
4755,"David R. Ellis","9/8/1952","http://image.tmdb.org/t/p/original/ww2HEkXJadls2XyDvQCJKzy6ly.jpg"
4759,"David Kellogg","","http://image.tmdb.org/t/p/original/8CqtSRR1QoLQGD1cbtoA1HwOF2u.jpg"
4762,"Paul Thomas Anderson","6/26/1970","http://image.tmdb.org/t/p/original/6lDE5N6lQUvAbKBRazn2Q0mRk44.jpg"
4780,"Wolfgang Becker","",""
4786,"Richard Attenborough","8/29/1923","http://image.tmdb.org/t/p/original/w44WoxzkZtRrv0cqN3fyCNYNXr0.jpg"
4945,"Joe Johnston","5/13/1950","http://image.tmdb.org/t/p/original/toj9EQN41alIQI9S5ISJe0MSYvb.jpg"
4955,"Dario Argento","9/7/1940","http://image.tmdb.org/t/p/original/5lM1ecDrG62PiQfoPWN1ZATMNrU.jpg"
4956,"Bernardo Bertolucci","3/16/1940","http://image.tmdb.org/t/p/original/vu7dxDDRRjytIfGuQxDYj1eJULa.jpg"
4964,"Hal Ashby","9/2/1929","http://image.tmdb.org/t/p/original/5VRhD4ZMsTyoAsMmxkNuTg41Sta.jpg"
5010,"Todd Field","2/24/1964","http://image.tmdb.org/t/p/original/34lDArSwBjHFXIfYnLQZWKTTab3.jpg"
5026,"Akira Kurosawa","3/23/1910","http://image.tmdb.org/t/p/original/tSHISWGMP0xBQxWfrsLXPK4a4r7.jpg"
5045,"Dan O'Bannon","9/30/1946","http://image.tmdb.org/t/p/original/slLZWXZ1lmdF763166ATRRI200n.jpg"
5058,"Roger Christian","",""
5065,"David Frankel","4/2/1959","http://image.tmdb.org/t/p/original/tpLjh5skSSRdm70dbRocPaBZj33.jpg"
5125,"Fatih Akin","8/25/1973","http://image.tmdb.org/t/p/original/q5V4CMEAQG6HbJzUVpuFPoZQbTd.jpg"
5140,"Wes Craven","8/2/1939","http://image.tmdb.org/t/p/original/vffssPtgNn2ZwoMfLCCDJAxlXGI.jpg"
5174,"Barry Sonnenfeld","4/1/1953","http://image.tmdb.org/t/p/original/yYnO6gqo2vWb8PPk2bEBSeyVodo.jpg"
5216,"Gus Van Sant","7/24/1952","http://image.tmdb.org/t/p/original/jebdl8P5osH8N8bbXa5KTOTLj4c.jpg"
5231,"Wolfgang Petersen","3/14/1941","http://image.tmdb.org/t/p/original/ug1Gc0RblJ6lsWkx1dSfF91qs8q.jpg"
5281,"Spike Lee","3/20/1957","http://image.tmdb.org/t/p/original/qFVLXHU19vFIHrt3vRQMI8O6lMt.jpg"
5306,"Lasse Hallström","6/2/1946","http://image.tmdb.org/t/p/original/tVnakJ0RWFj3eaUIJkzubTzmKXv.jpg"
5342,"Mike Nichols","11/6/1931","http://image.tmdb.org/t/p/original/u9Kbc3mFSJgcx5pqDU9gjDuiClD.jpg"
5345,"Bennett Miller","12/30/1966","http://image.tmdb.org/t/p/original/x4dgCqGj5H5Px8CWse406NjDqtO.jpg"
5367,"Zach Braff","4/6/1975","http://image.tmdb.org/t/p/original/bQ60IazUmPKfwxd6VuqXxoaUM0O.jpg"
5369,"George C. Wolfe","9/23/1954","http://image.tmdb.org/t/p/original/izFpDiWihiqonmSiyFCeHgu6T3J.jpg"
5446,"David Hand","1/23/1900","http://image.tmdb.org/t/p/original/4VzUnNNHSwGT0qH99Zgd0nhmmIU.jpg"
5501,"Gary Fleder","12/19/1965","http://image.tmdb.org/t/p/original/rRxdnJbRT8Ygg8KNpdoxULszClx.jpg"
5524,"Andrew Adamson","12/1/1966","http://image.tmdb.org/t/p/original/sI8oEKKzvQmrNzV5kFakrKcNcvB.jpg"
5572,"Joel Schumacher","8/28/1939","http://image.tmdb.org/t/p/original/ginLK9y88bvpJfXChNyFK9DAbAA.jpg"
5575,"Akiva Goldsman","7/7/1962","http://image.tmdb.org/t/p/original/smyKiXX4rAfehztrmg3lxgRAuZF.jpg"
5602,"David Lynch","1/20/1946","http://image.tmdb.org/t/p/original/rEbYiC1056G57kGq4Fv7bIKUqQ5.jpg"
